水闸名称,经度,纬度,所在行政区,所在地点,所在河流,水闸孔数,闸孔净宽,闸底板高程,闸门顶高程,闸墩高程,排架高程,闸门型式,启闭机,启闭机型式,电机功率,设计标准
"西三闸","121.0764","30.2503","建民村","小曹娥镇建民村","爱国江","/",4.0,,,"4.33","8.37","平板式","/","手摇式","/",20
"海塘南闸1","121.0672","30.2003","朗海村","小曹娥镇朗海村","洪家路江","2",3.0,,,"3.98","7.73","平板式","2","螺杆式","3",20
"海塘南闸2","121.0675","30.2003","朗海村","小曹娥镇朗海村","洪家路江","1",2.0,,,"4.48","7.78","平板式","1","螺杆式","3",20
"老四塘江闸","121.0769","30.2006","朗海村","小曹娥镇朗海村","杨家路江","/",3.1,,,"3.84","6.79","平板式","/","手摇式","/",20
"小曹娥镇10#闸","121.058","30.25","朗海村","小曹娥镇朗海村","八塘江","2",3.5,,,"4.63","9.23","平板式","2","螺杆式","4",20
"小曹娥镇3#闸","121.075","30.201","朗海村","小曹娥镇朗海村","杨家路江","/",3.1,,,"3.84","7.94","平板式","/","手摇式","/",20
"小曹娥镇4#闸","121.065","30.201","朗海村","小曹娥镇朗海村","洪家路江","/",3.6,,,"3.94","8.24","平板式","/","手摇式","/",20
"杨家路江南闸","121.075","30.201","朗海村","小曹娥镇朗海村","杨家路江","1",3.0,,,"3.27","7.37","平板式","1","螺杆式","3",20
"洪家路江南闸","121.066","30.201","朗海村","小曹娥镇朗海村","洪家路江","1",3.0,,,"3.61","7.77","平板式","1","螺杆式","3",20
"三桥头闸","121.056","30.185","镇海村","小曹娥镇镇海村","方家路江","1",3.0,,,"4.33","8.33","平板式","1","螺杆式","3",20
"仁泰丘闸","121.048","30.201","镇海村","小曹娥镇镇海村","方家路江","/",3.0,,,"2.05","5.05","平板式","/","手摇式","/",20
"王龙闸","121.048","30.201","镇海村","小曹娥镇镇海村","方家路江","/",3.0,,,"3.73","8.33","平板式","/","手摇式","/",20
"小曹娥镇6#闸","121.054","30.2","镇海村","小曹娥镇镇海村","方家路江","/",3.5,,,"4.63","8.73","平板式","/","手摇式","/",20
"小曹娥镇7#闸","121.041","30.218","镇海村","小曹娥镇镇海村","方家路江","/",2.7,,,"5.18","8.78","平板式","/","手摇式","/",20
"小曹娥镇8#闸","121.041","30.219","人和村","小曹娥镇人和村","五塘江","/",3.5,,,"5.53","9.63","平板式","/","手摇式","/",20
"七塘江泵闸","121.039","30.2358","人和村","小曹娥镇人和村","方家路江","/",3.4,,,"4.83","9.08","平板式","/","手摇式","/",20
"镇海八塘闸","121.0411","30.2339","人和村","小曹娥镇人和村","八塘横江","/",3.0,,,"5.83","6.43","平板式","/","手摇式","/",20
"洪家路江七塘江泵闸","121.0492","30.234","人和村","小曹娥镇人和村","洪家路江","/",2.5,,,"4.23","8.23","平板式","/","手摇式","/",20
"洪家路江七塘闸","121.0506","30.2339","人和村","小曹娥镇人和村","洪家路江","1",2.7,,,"4.53","7.93","平板式","1","螺杆式","3",20
"小曹娥镇5#闸","121.05","30.234","人和村","小曹娥镇人和村","洪家路江","/",3.5,,,"4.73","8.97","平板式","/","手摇式","/",20
"大义桥江闸","121.04083","30.15278","汝湖社区","泗门镇汝湖社区","大义桥江","1",3.5,,,"3.42","6.62","平板门","1","螺杆式","/",20
"汝湖抗旱闸","121.040278","30.1522","汝湖社区","泗门镇汝湖社区","汝湖江","1",3.5,,,"3.42","6.62","平板门","1","螺杆式","/",20
"相公潭江闸","121.02444","30.211389","相公潭村","泗门镇相公潭村","相公潭江","1",2.1,,,"3.36","6.11","平板门","1","螺杆式","3",20
"六丘闸","121.021667","30.216389","相公潭村","泗门镇相公潭村","相公潭江","1",2.0,,,"3.58","6.63","平板门","1","螺杆式","3",20
"万圣排涝1#闸","121.025","30.23222","万圣村","泗门镇万圣村","九塘横江","1",2.5,,,"2.96","5.96","平板门","1","螺杆式","3",20
"万圣排涝2#闸","121.02417","30.23167","万圣村","泗门镇万圣村","九塘横江","1",2.5,,,"2.96","5.96","平板门","1","螺杆式","3",20
"九丘中心江闸","121.02472","30.230555","万圣村","泗门镇万圣村","九丘中心江","1",2.5,,,"2.96","5.96","平板门","1","螺杆式","3",20
"毛堰江闸","121.04694","30.14166","镇南村","泗门镇镇南村","东蒲毛堰江","1",3.0,,,"3.93","7.43","平板门","1","螺杆式","5.5",20
"安井江闸","121.05028","30.1411","镇南村","泗门镇镇南村","安井江","1",2.2,,,"3.93","5.08","平板门","1","螺杆式","2.2",20
"陆家庄西闸","121.04444","30.1272","东蒲村","泗门镇东蒲村","半夜河塍江","1",3.0,,,"3.93","7.43","平板门","1","螺杆式","5.5",20
"孙张闸","121.038056","30.13611","东蒲村","泗门镇东蒲村","东蒲横江","1",4.0,,,"4.23","/","升卧式","1","螺杆式","4",20
"东蒲闸","121.05472","30.13222","东蒲村","泗门镇东蒲村","东蒲横江","1",4.0,,,"4.23","/","升卧式","1","螺杆式","4",20
"大庙周抗旱2#闸","121.06667","30.16194","大庙周村","泗门镇大庙周村","新桥直江","2",5.8,,,"4.02","7.62","平板门","2","螺杆式","/",20
"水阁周抗旱闸","121.051389","30.17139","水阁周村","泗门镇水阁周村","大沽塘江","1",3.2,,,"4.52","7.72","平板门","1","螺杆式","/",20
"马金江水闸","121.05833","30.06","姚家村","马渚镇姚家村","马金江姚家村28号河","1",2.7,,,"4.4","7.3","平板门","1","螺杆式","3",20
"东台江水闸","121.05944","30.0619","姚家村","马渚镇姚家村","东台江姚家村27号河","1",2.7,,,"4.4","7.3","平板门","1","螺杆式","3",20
"三十里牌水闸","121.05361","30.0392","云楼村","马渚镇云楼村","贺墅江","1",3.0,,,"2.94","7.14","平板门","1","螺杆式","3",20
"小渣湖闸","121.0325","30.0186","四联村★","马渚镇四联村","小渣湖","1",2.5,,,"3.24","6.21","平板门","1","螺杆式","3",10
"小渣湖小闸","121.03278","30.0183","四联村★","马渚镇四联村","小渣湖","1",1.5,,,"2.94","4.84","平板门","1","螺杆式","2.2",10
"上陈水闸","121.04","30.0053","四联村★","马渚镇四联村","四联村6号河","1",2.5,,,"3.73","6.58","平板门","1","螺杆式","3",20
"团结闸","121.04306","30.02","四联村★","马渚镇四联村","十八里河","1",2.8,,,"6.04","8.59","平板门","1","螺杆式","3",20
"黄巷闸","121.07722","30.0572","斗门村","马渚镇斗门村","黄巷江","1",2.6,,,"3.73","7.63","平板门","1","螺杆式","3",20
"戴家水闸","121.08056","30.055","斗门村","马渚镇斗门村","斗门村40号河","1",1.5,,,"3.73","/","铸铁闸门","1","螺杆式","2.2",20
"西城枫景水闸","121.08889","30.0586","斗门村","马渚镇斗门村","斗门村39号河","1",2.6,,,"3.73","7.63","平板门","1","螺杆式","3",20
"斗门粮站水闸","121.07583","30.0558","斗门村","马渚镇斗门村","横径江","1",3.0,,,"3.53","3.73","铸铁闸门","1","螺杆式","4",20
"大成房闸","121.06694","30.0656","斗门村","马渚镇斗门村","大成房河","1",2.6,,,"3.73","7.63","平板门","1","螺杆式","3",20
"贺墅水闸","121.05472","30.0447","瑶街弄村","马渚镇瑶街弄村","瑶街弄村33号河","1",3.0,,,"3.73","7.63","平板门","1","螺杆式","4",20
"李家堰水闸","121.05889","30.0575","瑶街弄村","马渚镇瑶街弄村","瑶街弄村30号河","1",3.0,,,"3.73","7.63","平板门","1","螺杆式","4",20
"夹桥江水闸","121.06833","30.0611","瑶街弄村","马渚镇瑶街弄村","夹桥江瑶街弄村29号河","1",3.0,,,"3.53","7.73","平板门","1","螺杆式","4",20
"何家闼闸","121.04306","30.1078","下沙畈村","马渚镇下沙畈村","下沙畈河","1",2.8,,,"4.01","8.61","平板门","1","螺杆式","3",10
"南张江闸","121.06583","30.1142","大将桥村","马渚镇大将桥村","南张江","1",2.5,,,"4.11","8.86","平板门","1","螺杆式","3",10
"鱼舍江西闸","121.03444","30.1236","全佳桥村","马渚镇全佳桥村","鱼舍江","1",2.6,,,"4.16","8.61","平板门","1","螺杆式","3",10
